Producto imagen;PVPR usado;Archivo web;Filas Excel relacionadas;Nota
American Rocket 100% Isolated Protein 1kg;49,50 €;american-rocket-100-isolated-protein-1kg-49-50-eur.png;100% ISOLATED PROTEIN · Chocolate Blanco · 1kg | 100% ISOLATED PROTEIN · Chocolate · 1kg | 100% ISOLATED PROTEIN · Fresa · 1kg | 100% ISOLATED PROTEIN · Moca (próximamente) · 1kg;"Imagen de producto genérica; sabores del mismo formato comparten PVPR."
American Rocket 100% Isolated Protein 2kg;89,90 €;american-rocket-100-isolated-protein-2kg-89-90-eur.png;100% ISOLATED PROTEIN · Chocolate Blanco · 2kg | 100% ISOLATED PROTEIN · Chocolate · 2kg | 100% ISOLATED PROTEIN · Fresa · 2kg | 100% ISOLATED PROTEIN · Moca · 2kg;"Imagen de producto genérica; sabores del mismo formato comparten PVPR."
American Rocket 100% Whey Protein 1kg;39,90 €;american-rocket-100-whey-protein-1kg-39-90-eur.png;100% WHEY PROTEIN · Chocolate · 1kg | 100% WHEY PROTEIN · Fresa  · 1kg | 100% WHEY PROTEIN · Vainilla · 1kg;"Imagen de producto genérica; sabores del mismo formato comparten PVPR."
American Rocket 100% Whey Protein 2kg;74,90 €;american-rocket-100-whey-protein-2kg-74-90-eur.png;100% WHEY PROTEIN · Chocolate · 2kg | 100% WHEY PROTEIN · Fresa · 2kg | 100% WHEY PROTEIN · Vainilla · 2kg;"Imagen de producto genérica; sabores del mismo formato comparten PVPR."
American Rocket BCAA 2-1-1 + Glutamina 500g;39,90 €;american-rocket-bcaa-2-1-1-glutamina-500g-39-90-eur.png;50:50 BCAA 2:1:1 + GLUTAMINA (KYOWA) · Limón · 500 gr. | 50:50 BCAA 2:1:1 + GLUTAMINA (KYOWA) · Sandía · 500 gr.;"Misma imagen para Sandía y Limón; ambos tienen el mismo PVPR."
American Rocket MAP 500g;54,90 €;american-rocket-map-500g-54-90-eur.png;M.A.P · Kojak · 500 gr.;
American Rocket Creatina Creapure 500g;44,90 €;american-rocket-creatina-creapure-500g-44-90-eur.png;100% Creatine Creapure · Neutro · 500 gr.;
American Rocket Creatina Micronizada 500g;34,90 €;american-rocket-creatina-micronizada-500g-34-90-eur.png;100% Creatine Micronized · Neutro · 500 gr.;
American Rocket Volcano Burn 90 caps;37,90 €;american-rocket-volcano-burn-90-caps-37-90-eur.png;VOLCANO · 90 Caps.;
American Rocket L-Carnitine 2000 90 caps;24,90 €;american-rocket-l-carnitine-2000-90-caps-24-90-eur.png;L-Carnitine 2000 (Carnipure) · 90 Caps.;
American Rocket L-Carnitine 3000 Liquid 500ml;29,90 €;american-rocket-l-carnitine-3000-liquid-500ml-29-90-eur.png;L-Carnitine 3000 (Carnipure) · Limón (próximamente) · 500 ml;
American Rocket L-Carnitine 3000 20 x 25ml;34,90 €;american-rocket-l-carnitine-3000-20-x-25ml-34-90-eur.png;L-Carnitine 3000 (Carnipure) · Limón · 20 x 25 ml;
American Rocket Diurex XT 120 caps;34,90 €;american-rocket-diurex-xt-120-caps-34-90-eur.png;Diurex XT · 120 Caps.;
American Rocket F-22 Raptor Pre Workout 400g;39,90 €;american-rocket-f-22-raptor-pre-workout-400g-39-90-eur.png;F-22 RAPTOR · Fruit Punch · 400 gr. | F-22 RAPTOR · Mango - Piña · 400 gr.;"La imagen del catálogo es genérica; el Excel contiene Fruit Punch y Mango-Piña al mismo PVPR."
American Rocket Anabol Pro 90 caps;39,90 €;american-rocket-anabol-pro-90-caps-39-90-eur.png;ANABOL PRO · 90 Caps.;
American Rocket Daily One 60 caps;18,90 €;american-rocket-daily-one-60-caps-18-90-eur.png;Daily One · 60 Caps.;
American Rocket Magnesium + Vitamin B6 100 caps;17,90 €;american-rocket-magnesium-vitamin-b6-100-caps-17-90-eur.png;Magnesium + Vitamin B6 · 100 Caps.;
American Rocket Super Omega 3 35-25 90 perlas;28,90 €;american-rocket-super-omega-3-35-25-90-perlas-28-90-eur.png;SUPER OMEGA 3 35/25 · 90 Perlas;
American Rocket Vitamin C 1000 100 caps;24,90 €;american-rocket-vitamin-c-1000-100-caps-24-90-eur.png;Vitamin C1000 · 100 Caps.;
American Rocket NAC 120 caps;23,90 €;american-rocket-nac-120-caps-23-90-eur.png;NAC · 120 Caps.;
American Rocket Harina de Avena Oatmeal 1kg;6,50 €;american-rocket-harina-de-avena-oatmeal-1kg-6-50-eur.png;Harina De Avena · Black Cookie · 1kg | Harina De Avena · Brownie · 1kg | Harina De Avena · Chocolate Blanco · 1kg | Harina De Avena · Chocolate · 1kg | Harina De Avena · Galleta Maria · 1kg;"Imagen genérica del catálogo; el Excel contiene varios sabores al mismo PVPR."
American Rocket Colageno 400g;29,90 €;american-rocket-colageno-400g-29-90-eur.png;COLAGENO · Limón · 400 gr.;"El catálogo PDF indica sabor melocotón; el Excel indica COLAGENO · Limón. Se ha usado nombre genérico sin sabor."
