codigo;nombre;categoria;precio;stock;activo;destacado;etiqueta;marca;foto
ABB-1000;Açaí Berry Brutal 1000 ml;Bowls;18,50;siempre;SI;NO;;;
ABB-500;Açaí Berry Brutal 500 ml;Bowls;10,50;siempre;NO;NO;;;sources/productos/BOWLS/ABB-500__ACAI_BERRY_BRUTAL_500_ML.webp
ABB-750;Açaí Berry Brutal 750 ml;Bowls;13,50;siempre;SI;NO;;;
BG-1000;Bahía Gold 1000 ml;Bowls;18,50;siempre;SI;NO;;;
BG-500;Bahía Gold 500 ml;Bowls;10,50;siempre;SI;NO;;;
BG-750;Bahía Gold 750 ml;Bowls;13,50;siempre;SI;NO;;;
BCB-1000;Black Cacao Berry 1000 ml;Bowls;17,90;siempre;SI;NO;;;
BCB-500;Black Cacao Berry 500 ml;Bowls;11,98;siempre;SI;NO;;;
BCB-750;Black Cacao Berry 750 ml;Bowls;12,90;siempre;SI;NO;;;
CP-1000;Choco Peanut 1000 ml;Bowls;17,50;siempre;SI;NO;;;
CP-500;Choco Peanut 500 ml;Bowls;9,50;siempre;SI;NO;;;
CP-750;Choco Peanut 750 ml;Bowls;12,50;siempre;SI;NO;;;
DP-1000;Dubai Pistachio 1000 ml;Bowls;19,95;siempre;SI;NO;;;
DP-500;Dubai Pistachio 500 ml;Bowls;11,89;siempre;SI;NO;;;
DP-750;Dubai Pistachio 750 ml;Bowls;15,50;siempre;SI;NO;;;
MS-1000;Matcha Strawberry 1000 ml;Bowls;18,50;siempre;SI;NO;;;
MS-500;Matcha Strawberry 500 ml;Bowls;10,50;siempre;SI;NO;;;
MS-750;Matcha Strawberry 750 ml;Bowls;13,50;siempre;SI;NO;;;
RX-1000;Royal X 1.000 ml;Bowls;22,91;siempre;SI;NO;;;
RX-500;Royal X 500 ml;Bowls;13,90;siempre;SI;NO;;;
RX-750;Royal X 750 ml;Bowls;16,90;siempre;SI;NO;;;
BOWL-1000;Personaliza Bowl 1.000 ml;Bowls;17,90;siempre;SI;NO;;;
BOWL-500;Personaliza Bowl 500 ml;Bowls;9,90;siempre;SI;NO;;;
BOWL-750;Personaliza Bowl 750 ml;Bowls;17,90;siempre;SI;NO;;;
DAILY-BERRY;Daily Berry 500 ml;Yogures;5,90;siempre;SI;NO;;;
DAILY-CACAO;Daily Cacao Crunch 500 ml;Yogures;5,90;siempre;SI;NO;;;
DAILY-TROPI;Daily Tropical 500 ml;Yogures;5,90;siempre;SI;NO;;;
00538;Batido Chocolate;Smoothies y batidos;4,90;siempre;SI;NO;;;
00537;Batido Mango;Smoothies y batidos;4,90;siempre;SI;NO;;;
BATI-BC;Berry Cloud;Smoothies y batidos;7,50;siempre;SI;NO;;;
00534;Berry Smoothie;Smoothies y batidos;4,90;siempre;SI;NO;;;sources/productos/SMOOTHIES_Y_BATIDOS/00534__BERRY_SMOOTHIE.webp
BATI-CP;Cacao Peanut;Smoothies y batidos;5,90;siempre;SI;NO;;;
CAPRI-BCP;Berry Cloud Pop;Waffles y caprichos;6,90;siempre;SI;NO;;;
00536;Capricho Fresa;Waffles y caprichos;4,90;siempre;SI;NO;;;
CAPRI-MSC;Mini Sphere Cup;Waffles y caprichos;7,20;siempre;SI;NO;;;
CAPRI-PGP;Pistachio Gold Pop;Waffles y caprichos;8,49;siempre;SI;NO;;;
CAFE-AMERICAN;Americano;Café y matcha;2,50;siempre;SI;NO;;;
CAFE-CAPPUCCI;Cappuccino;Café y matcha;3,61;siempre;SI;NO;;;
CAFE-CORTADO;Cortado;Café y matcha;2,70;siempre;SI;NO;;;
CAFE-ESPRESO;Espresso;Café y matcha;2,20;siempre;SI;NO;;;
CAFE-ICED;LAT Iced Latte;Café y matcha;3,90;siempre;SI;NO;;;
CAFE-LATTE;Latte;Café y matcha;3,40;siempre;SI;NO;;;
00532;Agua Aquadeus 1.5l;Bebidas;1,40;0;SI;NO;;;
00500;Agua Aquadeus 1.5l;Bebidas;1,50;0;SI;NO;;;
00001;Agua Pequeña 33ml;Bebidas;0,50;0;SI;NO;;;
00531;Agua Solares Pequeña 0.50ml;Bebidas;0,80;0;SI;NO;;;
00533;Agua Solares 1.5l;Bebidas;1,50;0;SI;NO;;;
ICE-CC;Iced Cacao Coffee;Bebidas;5,51;siempre;SI;NO;;;
ICE-MC;Iced Matcha Classic;Bebidas;4,90;siempre;SI;NO;;;
ICE-PM;Iced Pistachio Matcha;Bebidas;5,90;siempre;SI;NO;;;
ICE-MT;Mango Tropical;Bebidas;5,90;siempre;SI;NO;;;
00347;Milkshake Banana 330ml Barebells;Bebidas;2,95;8;SI;NO;;Barebells;sources/productos/BEBIDAS/00347__MILKSHAKE_BANANA_330ML_BAREBELLS.webp
00348;Milkshake Chocolate 330ml Barebells;Bebidas;2,95;15;SI;NO;;Barebells;sources/productos/BEBIDAS/00348__MILKSHAKE_CHOCOLATE_330ML_BAREBELLS.webp
00350;Milkshake Cookies & Cream 330ml Barebells;Bebidas;2,95;8;SI;NO;;Barebells;
00346;Milkshake Strawberry 330ml Barebells;Bebidas;2,95;8;SI;NO;;Barebells;
00349;Milkshake Vainilla 330ml Barebells;Bebidas;3,57;7;SI;NO;;Barebells;
00363;NABE Aloe Vera THE Original;Bebidas;2,50;20;SI;NO;;NABE;
00353;Nocco BCAA Mango 355ml;Bebidas;2,50;22;SI;NO;;Nocco;sources/productos/BEBIDAS/00353__NOCCO_BCAA_MANGO_355ML.webp
00352;Nocco BCAA+ Manzana 355ml;Bebidas;2,50;48;SI;NO;;Nocco;sources/productos/BEBIDAS/00352__NOCCO_BCAA_MANZANA_355ML.webp
00355;Nocco Electrolyte Blood Orange 355ml;Bebidas;2,50;24;SI;NO;;Nocco;sources/productos/BEBIDAS/00355__NOCCO_ELECTROLYTE_BLOOD_ORANGE_355ML.webp
00351;Nocco Electrolyte Lima/limon 355ml;Bebidas;2,50;24;SI;NO;;Nocco;sources/productos/BEBIDAS/00351__NOCCO_ELECTROLYTE_LIMA_LIMON_355ML.webp
00354;Nocco Focus Grand Sour Limon/manzana 330ml;Bebidas;2,50;24;SI;NO;;Nocco;sources/productos/BEBIDAS/00354__NOCCO_FOCUS_GRAND_SOUR_LIMON_MANZANA_330ML.webp
00356;Nocco Focus Ramonade 330ml;Bebidas;2,50;48;SI;NO;;Nocco;sources/productos/BEBIDAS/00356__NOCCO_FOCUS_RAMONADE_330ML.webp
00480;Oferta Pack Aqua Deus 6 Botellas 1.5l;Bebidas;2,50;0;SI;NO;;;
00479;Oferta Pack Solares 6 Botellas 1.5l;Bebidas;2,95;0;SI;NO;;;sources/productos/BEBIDAS/00479__OFERTA_PACK_SOLARES_6_BOTELLAS_1_5L.webp
00539;Pack Aquadeus 6 Botellas 1.5l;Bebidas;2,50;0;SI;NO;;;
00358;Vitamin Well Boost Arándanos Y Frambuesa;Bebidas;2,50;12;SI;NO;;Vitamin Well;
00357;Vitamin Well Refresh Limonada/kiwi;Bebidas;2,50;12;SI;NO;;Vitamin Well;
00360;Vitamin Well Sport 002 Limón/lima;Bebidas;3,03;12;SI;NO;;Vitamin Well;
00361;Vitamin Well Zero Limón;Bebidas;2,50;12;SI;NO;;Vitamin Well;
00359;Vitamin Well Zero Peach Melocotón;Bebidas;2,50;12;SI;NO;;Vitamin Well;
00083;Zumo Naranja 500ml;Bebidas;3,50;siempre;SI;NO;;;
00155;Pastillero;Accesorios gym;3,80;0;SI;NO;;;
00289;Proteina Isolada Moca 2kg Amro;Proteínas;89,90;1;SI;NO;;Amro;sources/productos/PROTEINAS/00289__PROTEINA_ISOLADA_MOCA_2KG_AMRO.jpg
00284;Cafe + Leche;Café y matcha;1,80;siempre;SI;NO;;;
00302;Crema De Proteina Bonbon Crisp Protella 200g;Alimentación proteica;7,99;1;SI;NO;;Protella;
00301;Crema De Proteina Choco Hazenut Protella 200g;Alimentación proteica;7,99;2;SI;NO;;Protella;sources/productos/ALIMENTACION_PROTEICA/00301__CREMA_DE_PROTEINA_CHOCO_HAZENUT_PROTELLA_200G.webp
00300;Crema De Proteina Chocolate Blanco Protella 200g;Alimentación proteica;7,99;1;SI;NO;;Protella;
00303;Crema De Proteina Cookie Dough Protella 200g;Alimentación proteica;7,99;2;SI;NO;;Protella;
00341;Harina De Avena Chocolate 1000g Amro;Alimentación proteica;6,50;5;SI;NO;;Amro;sources/productos/ALIMENTACION_PROTEICA/00341__HARINA_DE_AVENA_CHOCOLATE_1000G_AMRO.jpg
00340;Harina De Avena Galleta Maria 1000g Amro;Alimentación proteica;6,50;2;SI;NO;;Amro;sources/productos/ALIMENTACION_PROTEICA/00340__HARINA_DE_AVENA_GALLETA_MARIA_1000G_AMRO.jpg
00367;Salsa Barbacoa 320ml Servivita;Alimentación proteica;3,90;8;SI;NO;;Servivita;sources/productos/ALIMENTACION_PROTEICA/00367__SALSA_BARBACOA_320ML_SERVIVITA.webp
00365;Salsa Cesar Zero 320ml Servivita;Alimentación proteica;3,90;6;SI;NO;;Servivita;sources/productos/ALIMENTACION_PROTEICA/00365__SALSA_CESAR_ZERO_320ML_SERVIVITA.webp
00366;Salsa Ketchup 320ml Servivita;Alimentación proteica;3,90;8;SI;NO;;Servivita;sources/productos/ALIMENTACION_PROTEICA/00366__SALSA_KETCHUP_320ML_SERVIVITA.webp
00368;Salsa Mayonesa 320ml Servivita;Alimentación proteica;3,90;2;SI;NO;;Servivita;sources/productos/ALIMENTACION_PROTEICA/00368__SALSA_MAYONESA_320ML_SERVIVITA.webp
00364;Salsa Miel & Mostaza 320ml Servivita;Alimentación proteica;3,90;6;SI;NO;;Servivita;sources/productos/ALIMENTACION_PROTEICA/00364__SALSA_MIEL_MOSTAZA_320ML_SERVIVITA.webp
00095;Dip Extra Salsa;Waffles y caprichos;0,50;siempre;SI;NO;;;
00494;Helado Cacao & Avellana 100ml Protzen;Helados;2,99;0;SI;NO;;Protzen;sources/productos/HELADOS/00494__HELADO_CACAO_AVELLANA_100ML_PROTZEN.webp
00488;Helado Cacao & Avellana 460ml Protzen;Helados;7,99;0;SI;NO;;Protzen;sources/productos/HELADOS/00488__HELADO_CACAO_AVELLANA_460ML_PROTZEN.webp
00496;Helado Chocolate Negro 100ml Protzen;Helados;2,99;0;SI;NO;;Protzen;
00490;Helado Chocolate Negro 460ml Protzen;Helados;7,99;0;SI;NO;;Protzen;
00493;Helado Merengada 100ml Protzen;Helados;2,99;0;SI;NO;;Protzen;sources/productos/HELADOS/00493__HELADO_MERENGADA_100ML_PROTZEN.webp
