codigo;nombre;categoria;stock
ABB-1000;Açaí Berry Brutal 1000 ml;Bowls;siempre
ABB-500;Açaí Berry Brutal 500 ml;Bowls;siempre
ABB-750;Açaí Berry Brutal 750 ml;Bowls;siempre
BG-1000;Bahía Gold 1000 ml;Bowls;siempre
BG-500;Bahía Gold 500 ml;Bowls;siempre
BG-750;Bahía Gold 750 ml;Bowls;siempre
BCB-1000;Black Cacao Berry 1000 ml;Bowls;siempre
BCB-500;Black Cacao Berry 500 ml;Bowls;siempre
BCB-750;Black Cacao Berry 750 ml;Bowls;siempre
CP-1000;Choco Peanut 1000 ml;Bowls;siempre
CP-500;Choco Peanut 500 ml;Bowls;siempre
CP-750;Choco Peanut 750 ml;Bowls;siempre
DP-1000;Dubai Pistachio 1000 ml;Bowls;siempre
DP-500;Dubai Pistachio 500 ml;Bowls;siempre
DP-750;Dubai Pistachio 750 ml;Bowls;siempre
MS-1000;Matcha Strawberry 1000 ml;Bowls;siempre
MS-500;Matcha Strawberry 500 ml;Bowls;siempre
MS-750;Matcha Strawberry 750 ml;Bowls;siempre
RX-1000;Royal X 1.000 ml;Bowls;siempre
RX-500;Royal X 500 ml;Bowls;siempre
RX-750;Royal X 750 ml;Bowls;siempre
BOWL-1000;Personaliza Bowl 1.000 ml;Bowls;siempre
BOWL-500;Personaliza Bowl 500 ml;Bowls;siempre
BOWL-750;Personaliza Bowl 750 ml;Bowls;siempre
DAILY-BERRY;Daily Berry 500 ml;Yogures;siempre
DAILY-CACAO;Daily Cacao Crunch 500 ml;Yogures;siempre
DAILY-TROPI;Daily Tropical 500 ml;Yogures;siempre
00538;Batido Chocolate;Smoothies y batidos;siempre
00537;Batido Mango;Smoothies y batidos;siempre
BATI-BC;Berry Cloud;Smoothies y batidos;siempre
00534;Berry Smoothie;Smoothies y batidos;siempre
BATI-CP;Cacao Peanut;Smoothies y batidos;siempre
CAPRI-BCP;Berry Cloud Pop;Waffles y caprichos;siempre
00536;Capricho Fresa;Waffles y caprichos;siempre
CAPRI-MSC;Mini Sphere Cup;Waffles y caprichos;siempre
