categoria;codigo;ruta_esperada;tiene_foto
Bowls;ABB-1000;sources/productos/BOWLS/ABB-1000__ACAI_BERRY_BRUTAL_1000_ML.webp;no
Bowls;ABB-500;sources/productos/BOWLS/ABB-500__ACAI_BERRY_BRUTAL_500_ML.webp;si
Bowls;ABB-750;sources/productos/BOWLS/ABB-750__ACAI_BERRY_BRUTAL_750_ML.webp;no
Bowls;BG-1000;sources/productos/BOWLS/BG-1000__BAHIA_GOLD_1000_ML.webp;no
Bowls;BG-500;sources/productos/BOWLS/BG-500__BAHIA_GOLD_500_ML.webp;no
Bowls;BG-750;sources/productos/BOWLS/BG-750__BAHIA_GOLD_750_ML.webp;no
Bowls;BCB-1000;sources/productos/BOWLS/BCB-1000__BLACK_CACAO_BERRY_1000_ML.webp;no
Bowls;BCB-500;sources/productos/BOWLS/BCB-500__BLACK_CACAO_BERRY_500_ML.webp;no
Bowls;BCB-750;sources/productos/BOWLS/BCB-750__BLACK_CACAO_BERRY_750_ML.webp;no
Bowls;CP-1000;sources/productos/BOWLS/CP-1000__CHOCO_PEANUT_1000_ML.webp;no
Bowls;CP-500;sources/productos/BOWLS/CP-500__CHOCO_PEANUT_500_ML.webp;no
Bowls;CP-750;sources/productos/BOWLS/CP-750__CHOCO_PEANUT_750_ML.webp;no
Bowls;DP-1000;sources/productos/BOWLS/DP-1000__DUBAI_PISTACHIO_1000_ML.webp;no
Bowls;DP-500;sources/productos/BOWLS/DP-500__DUBAI_PISTACHIO_500_ML.webp;no
Bowls;DP-750;sources/productos/BOWLS/DP-750__DUBAI_PISTACHIO_750_ML.webp;no
Bowls;MS-1000;sources/productos/BOWLS/MS-1000__MATCHA_STRAWBERRY_1000_ML.webp;no
Bowls;MS-500;sources/productos/BOWLS/MS-500__MATCHA_STRAWBERRY_500_ML.webp;no
Bowls;MS-750;sources/productos/BOWLS/MS-750__MATCHA_STRAWBERRY_750_ML.webp;no
Bowls;RX-1000;sources/productos/BOWLS/RX-1000__ROYAL_X_1_000_ML.webp;no
Bowls;RX-500;sources/productos/BOWLS/RX-500__ROYAL_X_500_ML.webp;no
Bowls;RX-750;sources/productos/BOWLS/RX-750__ROYAL_X_750_ML.webp;no
Bowls;BOWL-1000;sources/productos/BOWLS/BOWL-1000__PERSONALIZA_BOWL_1_000_ML.webp;no
Bowls;BOWL-500;sources/productos/BOWLS/BOWL-500__PERSONALIZA_BOWL_500_ML.webp;no
Bowls;BOWL-750;sources/productos/BOWLS/BOWL-750__PERSONALIZA_BOWL_750_ML.webp;no
Yogures;DAILY-BERRY;sources/productos/YOGURES/DAILY-BERRY__DAILY_BERRY_500_ML.webp;no
Yogures;DAILY-CACAO;sources/productos/YOGURES/DAILY-CACAO__DAILY_CACAO_CRUNCH_500_ML.webp;no
Yogures;DAILY-TROPI;sources/productos/YOGURES/DAILY-TROPI__DAILY_TROPICAL_500_ML.webp;no
Smoothies y batidos;00538;sources/productos/SMOOTHIES_Y_BATIDOS/00538__BATIDO_CHOCOLATE.webp;no
Smoothies y batidos;00537;sources/productos/SMOOTHIES_Y_BATIDOS/00537__BATIDO_MANGO.webp;no
Smoothies y batidos;BATI-BC;sources/productos/SMOOTHIES_Y_BATIDOS/BATI-BC__BERRY_CLOUD.webp;no
Smoothies y batidos;00534;sources/productos/SMOOTHIES_Y_BATIDOS/00534__BERRY_SMOOTHIE.webp;si
Smoothies y batidos;BATI-CP;sources/productos/SMOOTHIES_Y_BATIDOS/BATI-CP__CACAO_PEANUT.webp;no
Waffles y caprichos;CAPRI-BCP;sources/productos/WAFFLES_Y_CAPRICHOS/CAPRI-BCP__BERRY_CLOUD_POP.webp;no
Waffles y caprichos;00536;sources/productos/WAFFLES_Y_CAPRICHOS/00536__CAPRICHO_FRESA.webp;no
Waffles y caprichos;CAPRI-MSC;sources/productos/WAFFLES_Y_CAPRICHOS/CAPRI-MSC__MINI_SPHERE_CUP.webp;no
Waffles y caprichos;CAPRI-PGP;sources/productos/WAFFLES_Y_CAPRICHOS/CAPRI-PGP__PISTACHIO_GOLD_POP.webp;no
Café y matcha;CAFE-AMERICAN;sources/productos/CAFE_Y_MATCHA/CAFE-AMERICAN__AMERICANO.webp;no
Café y matcha;CAFE-CAPPUCCI;sources/productos/CAFE_Y_MATCHA/CAFE-CAPPUCCI__CAPPUCCINO.webp;no
Café y matcha;CAFE-CORTADO;sources/productos/CAFE_Y_MATCHA/CAFE-CORTADO__CORTADO.webp;no
Café y matcha;CAFE-ESPRESO;sources/productos/CAFE_Y_MATCHA/CAFE-ESPRESO__ESPRESSO.webp;no
Café y matcha;CAFE-ICED;sources/productos/CAFE_Y_MATCHA/CAFE-ICED__LAT_ICED_LATTE.webp;no
Café y matcha;CAFE-LATTE;sources/productos/CAFE_Y_MATCHA/CAFE-LATTE__LATTE.webp;no
Bebidas;00532;sources/productos/BEBIDAS/00532__AGUA_AQUADEUS_1_5L.webp;no
Bebidas;00500;sources/productos/BEBIDAS/00500__AGUA_AQUADEUS_1_5L.webp;no
Bebidas;00001;sources/productos/BEBIDAS/00001__AGUA_PEQUENA_33ML.webp;no
Bebidas;00531;sources/productos/BEBIDAS/00531__AGUA_SOLARES_PEQUENA_0_50ML.webp;no
Bebidas;00533;sources/productos/BEBIDAS/00533__AGUA_SOLARES_1_5L.webp;no
Bebidas;ICE-CC;sources/productos/BEBIDAS/ICE-CC__ICED_CACAO_COFFEE.webp;no
Bebidas;ICE-MC;sources/productos/BEBIDAS/ICE-MC__ICED_MATCHA_CLASSIC.webp;no
Bebidas;ICE-PM;sources/productos/BEBIDAS/ICE-PM__ICED_PISTACHIO_MATCHA.webp;no
Bebidas;ICE-MT;sources/productos/BEBIDAS/ICE-MT__MANGO_TROPICAL.webp;no
Bebidas;00347;sources/productos/BEBIDAS/00347__MILKSHAKE_BANANA_330ML_BAREBELLS.webp;si
Bebidas;00348;sources/productos/BEBIDAS/00348__MILKSHAKE_CHOCOLATE_330ML_BAREBELLS.webp;si
Bebidas;00350;sources/productos/BEBIDAS/00350__MILKSHAKE_COOKIES_CREAM_330ML_BAREBELLS.webp;no
Bebidas;00346;sources/productos/BEBIDAS/00346__MILKSHAKE_STRAWBERRY_330ML_BAREBELLS.webp;no
Bebidas;00349;sources/productos/BEBIDAS/00349__MILKSHAKE_VAINILLA_330ML_BAREBELLS.webp;no
Bebidas;00363;sources/productos/BEBIDAS/00363__NABE_ALOE_VERA_THE_ORIGINAL.webp;no
Bebidas;00353;sources/productos/BEBIDAS/00353__NOCCO_BCAA_MANGO_355ML.webp;no
Bebidas;00352;sources/productos/BEBIDAS/00352__NOCCO_BCAA_MANZANA_355ML.webp;no
Bebidas;00355;sources/productos/BEBIDAS/00355__NOCCO_ELECTROLYTE_BLOOD_ORANGE_355ML.webp;no
Bebidas;00351;sources/productos/BEBIDAS/00351__NOCCO_ELECTROLYTE_LIMA_LIMON_355ML.webp;no
Bebidas;00354;sources/productos/BEBIDAS/00354__NOCCO_FOCUS_GRAND_SOUR_LIMON_MANZANA_330ML.webp;no
Bebidas;00356;sources/productos/BEBIDAS/00356__NOCCO_FOCUS_RAMONADE_330ML.webp;no
Bebidas;00480;sources/productos/BEBIDAS/00480__OFERTA_PACK_AQUA_DEUS_6_BOTELLAS_1_5L.webp;no
Bebidas;00479;sources/productos/BEBIDAS/00479__OFERTA_PACK_SOLARES_6_BOTELLAS_1_5L.webp;no
Bebidas;00539;sources/productos/BEBIDAS/00539__PACK_AQUADEUS_6_BOTELLAS_1_5L.webp;no
Bebidas;00358;sources/productos/BEBIDAS/00358__VITAMIN_WELL_BOOST_ARANDANOS_Y_FRAMBUESA.webp;no
Bebidas;00357;sources/productos/BEBIDAS/00357__VITAMIN_WELL_REFRESH_LIMONADA_KIWI.webp;no
Bebidas;00360;sources/productos/BEBIDAS/00360__VITAMIN_WELL_SPORT_002_LIMON_LIMA.webp;no
Bebidas;00361;sources/productos/BEBIDAS/00361__VITAMIN_WELL_ZERO_LIMON.webp;no
Bebidas;00359;sources/productos/BEBIDAS/00359__VITAMIN_WELL_ZERO_PEACH_MELOCOTON.webp;no
Bebidas;00083;sources/productos/BEBIDAS/00083__ZUMO_NARANJA_500ML.webp;no
Accesorios gym;00155;sources/productos/ACCESORIOS_GYM/00155__PASTILLERO.webp;no
Proteínas;00289;sources/productos/PROTEINAS/00289__PROTEINA_ISOLADA_MOCA_2KG_AMRO.jpg;si
Café y matcha;00284;sources/productos/CAFE_Y_MATCHA/00284__CAFE_LECHE.webp;no
Alimentación proteica;00302;sources/productos/ALIMENTACION_PROTEICA/00302__CREMA_DE_PROTEINA_BONBON_CRISP_PROTELLA_200G.webp;no
Alimentación proteica;00301;sources/productos/ALIMENTACION_PROTEICA/00301__CREMA_DE_PROTEINA_CHOCO_HAZENUT_PROTELLA_200G.webp;si
Alimentación proteica;00300;sources/productos/ALIMENTACION_PROTEICA/00300__CREMA_DE_PROTEINA_CHOCOLATE_BLANCO_PROTELLA_200G.webp;no
Alimentación proteica;00303;sources/productos/ALIMENTACION_PROTEICA/00303__CREMA_DE_PROTEINA_COOKIE_DOUGH_PROTELLA_200G.webp;no
Alimentación proteica;00341;sources/productos/ALIMENTACION_PROTEICA/00341__HARINA_DE_AVENA_CHOCOLATE_1000G_AMRO.jpg;si
Alimentación proteica;00340;sources/productos/ALIMENTACION_PROTEICA/00340__HARINA_DE_AVENA_GALLETA_MARIA_1000G_AMRO.jpg;si
Alimentación proteica;00367;sources/productos/ALIMENTACION_PROTEICA/00367__SALSA_BARBACOA_320ML_SERVIVITA.webp;si
Alimentación proteica;00365;sources/productos/ALIMENTACION_PROTEICA/00365__SALSA_CESAR_ZERO_320ML_SERVIVITA.webp;si
Alimentación proteica;00366;sources/productos/ALIMENTACION_PROTEICA/00366__SALSA_KETCHUP_320ML_SERVIVITA.webp;si
Alimentación proteica;00368;sources/productos/ALIMENTACION_PROTEICA/00368__SALSA_MAYONESA_320ML_SERVIVITA.webp;si
Alimentación proteica;00364;sources/productos/ALIMENTACION_PROTEICA/00364__SALSA_MIEL_MOSTAZA_320ML_SERVIVITA.webp;si
Waffles y caprichos;00095;sources/productos/WAFFLES_Y_CAPRICHOS/00095__DIP_EXTRA_SALSA.webp;no
Helados;00494;sources/productos/HELADOS/00494__HELADO_CACAO_AVELLANA_100ML_PROTZEN.webp;si
Helados;00488;sources/productos/HELADOS/00488__HELADO_CACAO_AVELLANA_460ML_PROTZEN.webp;si
Helados;00496;sources/productos/HELADOS/00496__HELADO_CHOCOLATE_NEGRO_100ML_PROTZEN.webp;no
Helados;00490;sources/productos/HELADOS/00490__HELADO_CHOCOLATE_NEGRO_460ML_PROTZEN.webp;no
Helados;00493;sources/productos/HELADOS/00493__HELADO_MERENGADA_100ML_PROTZEN.webp;si
Helados;00487;sources/productos/HELADOS/00487__HELADO_MERENGADA_460ML_PROTZEN.webp;si
Helados;00491;sources/productos/HELADOS/00491__HELADO_MOKA_FUEL_100ML_PROTZEN.webp;no
Helados;00485;sources/productos/HELADOS/00485__HELADO_MOKA_FUEL_460ML_PROTZEN.webp;no
Helados;00486;sources/productos/HELADOS/00486__HELADO_PISTACHO_460ML_PROTZEN.webp;no
Helados;00492;sources/productos/HELADOS/00492__HELADO_PISTACHO100ML_PROTZEN.webp;no
Helados;00495;sources/productos/HELADOS/00495__HELADO_VAINILLA_100ML_PROTZEN.webp;no
Helados;00489;sources/productos/HELADOS/00489__HELADO_VAINILLA_460ML_PROTZEN.webp;no
Bowls;00086;sources/productos/BOWLS/00086__BOLW_GRANDE.webp;no
Bowls;00085;sources/productos/BOWLS/00085__BOLW_MEDIANO.webp;no
Bowls;00084;sources/productos/BOWLS/00084__BOLW_PEQUENO.webp;no
Vitaminas y salud;00320;sources/productos/VITAMINAS_Y_SALUD/00320__ASHWAGANDHA_60CPS_PROTELLA.webp;si
Barritas y snacks;00311;sources/productos/BARRITAS_Y_SNACKS/00311__BARRITA_PROTEINA_FUDGE_BROWNIE_16G_BAREBELLS.webp;si
Barritas y snacks;00304;sources/productos/BARRITAS_Y_SNACKS/00304__BARRITA_PROTEINA_LEMON_CHEESECAKE_16G_BAREBELLS.webp;no
Barritas y snacks;00307;sources/productos/BARRITAS_Y_SNACKS/00307__BARRITA_PROTEINA_PEANUT_BUTTER_16G_BAREBELLS.webp;si
Barritas y snacks;00306;sources/productos/BARRITAS_Y_SNACKS/00306__BARRITA_PROTEINA_PEANUT_CARAMEL_16G_BAREBELLS.webp;si
Barritas y snacks;00305;sources/productos/BARRITAS_Y_SNACKS/00305__BARRITA_PROTEINA_PEANUT_CLOUD_16G_BAREBELLS.webp;si
Barritas y snacks;00309;sources/productos/BARRITAS_Y_SNACKS/00309__BARRITA_PROTEINA_SALTY_PEANUT_16G_BAREBELLS_73.webp;si
Barritas y snacks;00310;sources/productos/BARRITAS_Y_SNACKS/00310__BARRITA_PROTEINA_STRAWBERRY_SUNDAE_16G_BAREBELLS.webp;no
Barritas y snacks;00308;sources/productos/BARRITAS_Y_SNACKS/00308__BARRITA_PROTEINA_WHITE_CHOCOLATE_16G_BAREBELLS.webp;si
Proteínas;00292;sources/productos/PROTEINAS/00292__BCAA_GLUTAMINA_LIMON_500G_AMRO.jpg;si
Proteínas;00291;sources/productos/PROTEINAS/00291__BCAA_GLUTAMINA_WATERMELON_500G_AMRO.jpg;si
Colágeno y bienestar;00331;sources/productos/COLAGENO_Y_BIENESTAR/00331__COLAGENO_MANGO_180G_PROTELLA.webp;no
Colágeno y bienestar;00333;sources/productos/COLAGENO_Y_BIENESTAR/00333__COLAGENO_NEUTRO_200G_PROTELLA.webp;si
Colágeno y bienestar;00332;sources/productos/COLAGENO_Y_BIENESTAR/00332__COLAGENO_SANDIA_180G_PROTELLA.webp;si
Creatinas;00334;sources/productos/CREATINAS/00334__CREATINA_MONOHYDRATE_LOLLIPOP_300G_PROTELLA.webp;si
